brand,os,utility,warranty,display_size,ppi,aspect_ratio,antiglare,touch_screen,ram,hdd,ssd,graphic,cache,core,hdmi,mcr,wifi,backlit_keyboard,inbuilt_microphone,thunderbolt,fingerprint_sensor,ethernet,display_port,num_of_cell,battery_capacity,pixel_width,pixel_height,usb2,type_c,processor_brand,processor_model,processor_gen,price
13.0,2.0,1.0,1.0,2.0,157,1.0,0,0,16,0,1024,1.0,8.0,4.0,1,0,1,1,1,0,0,0,0,2.0,50.0,1920.0,1080.0,0,0,2.0,19.0,11.0,37990.0
7.0,2.0,3.0,3.0,1.0,145,1.0,1,0,16,0,512,2.0,12.0,6.0,0,1,1,1,1,1,0,0,0,6.0,84.42653061224489,1920.0,1200.0,0,3,2.0,20.0,10.0,184999.0
15.0,2.0,2.0,1.0,0.0,236,1.0,1,0,16,0,1024,2.0,24.0,14.0,1,1,1,1,1,1,1,0,0,4.0,99.9,3200.0,2000.0,0,0,2.0,21.0,13.0,177990.0
7.0,2.0,1.0,1.0,1.0,141,1.0,1,0,8,0,512,1.0,12.0,10.0,1,1,1,1,1,0,0,0,0,3.0,41.0,1920.0,1080.0,1,0,2.0,19.0,12.0,51487.0
4.0,2.0,2.0,1.0,0.0,142,0.0,1,0,16,0,1024,2.0,20.0,10.0,1,0,1,1,1,1,0,0,0,4.0,70.58211920529801,1920.0,1200.0,0,0,2.0,19.0,13.0,94990.0
22.0,2.0,3.0,1.0,1.0,156,1.0,0,0,8,0,512,1.0,6.0,4.0,1,0,1,0,1,0,0,1,0,2.0,39.840625,1920.0,1080.0,0,0,2.0,19.0,10.0,25990.0
13.0,2.0,3.0,1.0,2.0,157,1.0,0,0,16,0,512,1.0,12.0,10.0,1,0,1,1,1,0,0,0,0,3.0,50.0,1920.0,1080.0,0,2,2.0,20.0,12.0,47990.0
16.0,2.0,3.0,2.0,1.0,141,1.0,1,0,8,0,512,2.0,12.0,6.0,1,0,1,1,1,1,0,1,0,3.0,49.61666666666666,1920.0,1080.0,0,0,2.0,19.0,11.0,45990.0
16.0,2.0,3.0,2.0,1.0,141,1.0,1,0,16,1024,256,2.0,12.0,6.0,1,0,1,1,1,1,0,1,0,3.0,52.4,1920.0,1080.0,0,0,2.0,19.0,11.0,55990.0
4.0,2.0,1.0,1.0,2.0,162,0.0,0,1,16,0,1024,0.0,16.0,8.0,1,0,1,1,1,0,0,0,0,3.0,70.0,1920.0,1200.0,1,0,0.0,5.0,5.0,70500.0
4.0,2.0,1.0,1.0,2.0,162,0.0,0,1,16,0,1024,0.0,16.0,6.0,1,0,1,1,1,0,0,0,0,3.0,70.0,1920.0,1200.0,1,0,0.0,4.0,5.0,65500.0
15.0,2.0,3.0,1.0,1.0,141,1.0,1,0,4,0,256,1.0,4.0,4.0,1,0,1,0,1,0,0,1,0,3.0,49.61666666666666,1920.0,1080.0,1,0,0.0,1.0,4.0,40500.0
15.0,2.0,0.0,1.0,2.0,157,1.0,1,0,16,0,512,0.0,8.0,8.0,1,0,1,0,1,0,0,1,0,3.0,50.0,1920.0,1080.0,0,0,0.0,5.0,4.0,90000.0
16.0,2.0,3.0,1.0,1.0,141,1.0,1,0,8,0,512,1.0,8.0,4.0,1,0,1,1,1,0,0,0,0,3.0,49.61666666666666,1920.0,1080.0,2,0,2.0,19.0,11.0,36990.0
16.0,2.0,3.0,1.0,1.0,141,1.0,1,0,8,0,512,1.0,6.0,2.0,1,0,1,1,1,0,0,0,0,3.0,49.61666666666666,1920.0,1080.0,2,0,2.0,18.0,11.0,29990.0
15.0,2.0,2.0,1.0,1.0,141,1.0,1,0,16,0,512,2.0,16.0,6.0,1,0,1,1,1,0,0,1,0,4.0,60.0,1920.0,1080.0,0,0,0.0,4.0,6.0,62990.0
15.0,2.0,3.0,1.0,1.0,157,1.0,1,0,8,0,512,1.0,10.0,6.0,1,1,1,0,1,0,0,0,0,3.0,45.0,1920.0,1080.0,1,0,2.0,18.0,12.0,40990.0
15.0,1.0,3.0,1.0,1.0,141,1.0,1,0,8,0,512,0.0,8.0,4.0,1,1,1,1,1,1,1,1,0,3.0,45.0,1920.0,1080.0,0,0,0.0,4.0,7.0,34499.0
16.0,2.0,3.0,1.0,2.0,157,1.0,1,0,16,0,512,1.0,8.0,4.0,1,0,1,1,1,0,0,0,0,3.0,49.61666666666666,1920.0,1080.0,2,0,2.0,19.0,11.0,38990.0
4.0,2.0,3.0,1.0,1.0,141,1.0,1,0,16,0,512,2.0,18.0,12.0,1,0,1,1,1,1,0,1,0,4.0,90.0,1920.0,1080.0,0,0,2.0,19.0,12.0,85990.0
15.0,2.0,3.0,1.0,1.0,141,1.0,1,0,8,0,512,0.0,4.0,4.0,1,1,1,1,1,0,0,0,0,3.0,42.0,1920.0,1080.0,1,0,0.0,4.0,7.0,66290.0
15.0,2.0,2.0,1.0,1.0,141,1.0,1,0,16,0,512,2.0,12.0,8.0,1,0,1,1,1,0,0,1,0,3.0,60.0,1920.0,1080.0,0,0,2.0,19.0,12.0,67990.0
4.0,2.0,1.0,1.0,2.0,157,1.0,1,0,16,0,512,1.0,6.0,2.0,1,0,1,0,1,0,1,0,0,2.0,39.840625,1920.0,1080.0,2,0,2.0,18.0,11.0,42990.0
15.0,2.0,2.0,1.0,1.0,141,1.0,1,0,8,0,512,2.0,16.0,6.0,1,0,1,1,1,0,0,1,0,4.0,60.0,1920.0,1080.0,0,0,0.0,4.0,6.0,54990.0
10.0,2.0,1.0,1.0,1.0,157,1.0,1,0,8,0,512,0.0,16.0,6.0,1,0,1,1,1,0,0,0,0,3.0,41.0,1920.0,1080.0,0,0,0.0,4.0,5.0,52290.0
4.0,2.0,3.0,1.0,1.0,212,1.0,1,0,16,0,1024,1.0,24.0,14.0,1,0,1,1,1,1,1,0,0,4.0,70.58211920529801,2880.0,1620.0,1,0,2.0,21.0,13.0,109990.0
11.0,2.0,1.0,1.0,0.0,142,1.0,1,0,16,0,512,1.0,12.0,8.0,1,0,1,1,1,0,1,0,0,2.0,60.0,1920.0,1200.0,0,0,2.0,19.0,12.0,48990.0
4.0,2.0,3.0,1.0,2.0,162,0.0,1,0,16,0,512,1.0,18.0,12.0,1,0,1,1,1,0,1,0,0,3.0,70.0,1920.0,1200.0,1,0,2.0,19.0,12.0,58990.0
